#     id           name           mass (kg)               X (m)               Y (m)               Z (m)            VX (m/s)            VY (m/s)            VZ (m/s)
      10            Sun  1.988409424446e+30 -1.217525443129e+09  6.360859780373e+08  2.326123714856e+07 -8.131393439799e+00 -1.368140599051e+01  3.036350369886e-01
     199        Mercury  3.300999894895e+23  6.798642878068e+09 -6.740633672097e+10 -6.272267731638e+09  3.860051416703e+04  8.185668392952e+03 -2.871183187469e+03
     299          Venus  4.867304720951e+24  1.775325294739e+10 -1.064982163798e+11 -2.541783011531e+09  3.424130920505e+04  5.969726231489e+03 -1.893948507989e+03
     301           Moon  7.345787519488e+22  1.469588671464e+11 -2.548934460718e+10  2.150304193198e+07  5.579175692266e+03  2.883537175719e+04 -9.330797122150e+01
     399          Earth  5.972167056523e+24  1.470923786540e+11 -2.514499523307e+10  2.397560708843e+07  4.598408326484e+03  2.922795395177e+04  1.649928350211e-02
     401         Phobos  0.000000000000e+00 -2.471177572240e+11 -1.422403269620e+10  5.747400756051e+09  2.841598243845e+03 -2.417465393268e+04 -9.347852496422e+02
     402         Deimos  0.000000000000e+00 -2.471096157795e+11 -1.424484354414e+10  5.741601656772e+09  3.585820722251e+03 -2.208253730737e+04 -1.073901085901e+03
     499           Mars  6.416907479232e+23 -2.471096250182e+11 -1.422146355905e+10  5.743562452584e+09  2.354000882149e+03 -2.212939796340e+04 -5.211275590220e+02
     501             Io  8.929646795249e+22  6.430249144135e+11 -3.854636017208e+11 -1.278158417778e+10  1.525508288233e+04  2.688202258840e+04  4.808350308033e+02
     502         Europa  4.798572704574e+22  6.421635145223e+11 -3.848125563627e+11 -1.277396603895e+10 -2.666610008958e+03  1.487407350955e+03 -7.945821960241e+02
     503       Ganymede  1.481478294021e+23  6.419386116993e+11 -3.844603931468e+11 -1.275932321738e+10 -1.469971322272e+03  4.533410536774e+03 -5.836831022718e+02
     504       Callisto  1.075660636548e+23  6.440677192529e+11 -3.840217566337e+11 -1.272182289223e+10  1.144303709189e+03  1.804837791041e+04 -7.174343294428e+01
     505       Amalthea  2.466175673964e+18  6.428188441800e+11 -3.851644704153e+11 -1.277371607885e+10 -6.458691398415e+03  3.477021932028e+04  2.720098843061e+02
     506        Himalia  2.270679561000e+18  6.504774805788e+11 -3.922165464194e+11 -1.850261594457e+10  8.480354215670e+03  1.434899743048e+04  1.731641325633e+02
     507          Elara  0.000000000000e+00  6.453728063520e+11 -3.724796030341e+11 -1.425095146627e+10  4.238127094589e+03  1.294317053492e+04  1.129956645029e+03
     508       Pasiphae  0.000000000000e+00  6.700397034426e+11 -3.977924442432e+11  4.269497797063e+08  5.994665688889e+03  1.035233675876e+04  1.065448867461e+02
     509         Sinope  0.000000000000e+00  6.620383569164e+11 -3.800226069877e+11 -1.037645302250e+10  6.551309141792e+03  9.282921218685e+03  6.601611816215e+02
     510       Lysithea  0.000000000000e+00  6.368083282853e+11 -3.952175516652e+11 -1.865430921714e+10  9.055001752233e+03  1.029769385094e+04 -4.960578010260e+02
     511          Carme  0.000000000000e+00  6.439123420671e+11 -4.140681672180e+11 -1.965303839321e+10  4.889748314638e+03  1.136441170108e+04 -6.337974667635e+00
     512         Ananke  0.000000000000e+00  6.232756950079e+11 -3.796833305691e+11 -2.496397407571e+10  6.855679544805e+03  1.399444658820e+04 -2.794904634736e+01
     513           Leda  0.000000000000e+00  6.531339991430e+11 -3.917850245298e+11 -8.464624408534e+09  8.273954269384e+03  1.388018818258e+04 -1.147485829111e+03
     514          Thebe  4.509835223956e+17  6.428574633785e+11 -3.851545772059e+11 -1.276989178443e+10 -4.669481318584e+03  3.307460920644e+04  1.271432350116e+02
     515       Adrastea  1.498284127560e+15  6.427895780342e+11 -3.852488876942e+11 -1.277754540772e+10  5.257553838542e+03  4.320995830450e+04  9.080337766916e+02
     516          Metis  3.745710318900e+16  6.426346706480e+11 -3.853795495152e+11 -1.278450488438e+10  3.744402007804e+04  5.404511066242e+03  2.888371527956e+01
     517     Callirrhoe  0.000000000000e+00  6.627821132563e+11 -3.690939504389e+11 -1.924247708194e+10  6.976546771419e+03  1.013144158966e+04  8.410119815072e+02
     518       Themisto  0.000000000000e+00  6.486238384639e+11 -3.880489024012e+11 -9.050497433110e+09  8.145469638106e+03  1.460105509761e+04 -2.672114592084e+03
     519      Megaclite  0.000000000000e+00  6.551377580225e+11 -3.723238597689e+11 -1.905654592378e+10  8.177871623712e+03  9.969925096250e+03  1.117813521662e+03
     520        Taygete  0.000000000000e+00  6.589976105772e+11 -3.781508543900e+11 -1.179614956719e+10  8.014192060516e+03  9.389769477350e+03  6.083565678428e+02
     521       Chaldene  0.000000000000e+00  6.669510771505e+11 -3.728890920914e+11 -1.590791234811e+10  6.835380637611e+03  9.982283223063e+03 -6.696326074421e+02
     522      Harpalyke  0.000000000000e+00  6.307270956400e+11 -3.675113056204e+11 -1.946147340995e+10  7.871856831615e+03  1.348527698717e+04  7.529957706903e+02
     523         Kalyke  0.000000000000e+00  6.670723327529e+11 -3.710161567940e+11 -6.522706159374e+09  7.541892845917e+03  1.033403279603e+04 -2.974460017939e+02
     524        Iocaste  0.000000000000e+00  6.318597678522e+11 -3.674223969142e+11 -2.085041303618e+10  8.079380071343e+03  1.326934431039e+04 -1.211242962059e+03
     525        Erinome  0.000000000000e+00  6.405814192398e+11 -3.568148657950e+11 -1.831243428042e+10  8.298327389897e+03  1.197267209951e+04  1.160608242325e+02
