           Time Step     Kinetic Energy eV     Potential Energy eV       Total Energy eV         Current Temp
                 109           59.8634894          -37.4695601           22.3939293          144.8225588
                 110           60.3180018          -37.9288577           22.3891441          145.9221213
                 111           60.4025640          -38.0168073           22.3857568          146.1266954
                 112           60.0932564          -37.7077011           22.3855553          145.3784142
                 113           59.4108179          -37.0242736           22.3865443          143.7274498
                 114           58.4183222          -36.0263237           22.3919984          141.3263908
                 115           57.2140123          -34.8153551           22.3986572          138.4129083
                 116           55.9201346          -33.5146952           22.4054394          135.2827418
                 117           54.6690257          -32.2557921           22.4132336          132.2560423
                 118           53.5880471          -31.1698836           22.4181635          129.6409244
                 119           52.7850869          -30.3635862           22.4215007          127.6983922
                 120           52.3362839          -29.9138204           22.4224636          126.6126421
                 121           52.2773773          -29.8552589           22.4221184          126.4701343
                 122           52.5996776          -30.1821379           22.4175397          127.2498475
                 123           53.2511017          -30.8405110           22.4105907          128.8257815
                 124           54.1421615          -31.7414004           22.4007611          130.9814453
                 125           55.1562262          -32.7657101           22.3905161          133.4346844
                 126           56.1628770          -33.7823300           22.3805470          135.8699876
                 127           57.0328385          -34.6604202           22.3724183          137.9746102
                 128           57.6527715          -35.2865870           22.3661845          139.4743604
                 129           57.9382372          -35.5759136           22.3623237          140.1649629
                 130           57.8433465          -35.4817095           22.3616371          139.9354020
                 131           57.3660167          -35.0033554           22.3626613          138.7806392
                 132           56.5482129          -34.1827352           22.3654777          136.8021973
                 133           55.4711373          -33.0999985           22.3711388          134.1965215
                 134           54.2459423          -31.8676575           22.3782848          131.2325134
                 135           53.0010220          -30.6157756           22.3852463          128.2207852
                 136           51.8673261          -29.4761144           22.3912118          125.4781331
                 137           50.9633792          -28.5679797           22.3953995          123.2912925
                 138           50.3817182          -27.9839621           22.3977561          121.8841303
                 139           50.1783018          -27.7810746           22.3972272          121.3920226
                 140           50.3661064          -27.9721141           22.3939923          121.8463622
                 141           50.9136362          -28.5252395           22.3883967          123.1709536
                 142           51.7485142          -29.3680464           22.3804678          125.1907016
                 143           52.7657498          -30.3947079           22.3710419          127.6516117
                 144           53.8397433          -31.4780323           22.3617110          130.2498312
                 145           54.8386514          -32.4858738           22.3527776          132.6664031
                 146           55.6394642          -33.2948770           22.3445872          134.6037401
                 147           56.1420638          -33.8032903           22.3387735          135.8196358
                 148           56.2806853          -33.9436896           22.3369956          136.1549908
                 149           56.0314626          -33.6955168           22.3359459          135.5520681
                 150           55.4151641          -33.0774899           22.3376742          134.0611104
                 151           54.4948363          -32.1526148           22.3422215          131.8346409
                 152           53.3686263          -31.0198296           22.3487966          129.1100985
                 153           52.1585888          -29.8024288           22.3561600          126.1827596
                 154           50.9967603          -28.6346526           22.3621077          123.3720486
                 155           50.0100929          -27.6433397           22.3667532          120.9850895
                 156           49.3059674          -26.9352018           22.3707656          119.2816596
                 157           48.9599477          -26.5892673           22.3706804          118.4445640
                 158           49.0071663          -26.6369132           22.3702532          118.5587959
                 159           49.4383271          -27.0722593           22.3660677          119.6018658
                 160           50.2007850          -27.8404545           22.3603305          121.4464143
                 161           51.2045758          -28.8520983           22.3524775          123.8747985
                 162           52.3326988          -29.9901440           22.3425548          126.6039689
                 163           53.4544843          -31.1225573           22.3319270          129.3178075
                 164           54.4405238          -32.1179695           22.3225543          131.7032475
                 165           55.1774442          -32.8612570           22.3161872          133.4860153
                 166           55.5808380          -33.2681692           22.3126688          134.4619109
                 167           55.6048887          -33.2940171           22.3108716          134.5200947
                 168           55.2475797          -32.9355112           22.3120685          133.6556880
                 169           54.5508782          -32.2341102           22.3167680          131.9702184
                 170           53.5959034          -31.2734146           22.3224889          129.6599305
                 171           52.4936124          -30.1647480           22.3288643          126.9932531
                 172           51.3720786          -29.0360117           22.3360669          124.2800235
                 173           50.3618172          -28.0201185           22.3416987          121.8359856
                 174           49.5808247          -27.2346346           22.3461900          119.9465980
                 175           49.1210628          -26.7723279           22.3487349          118.8343358
                 176           49.0379162          -26.6890032           22.3489130          118.6331865
                 177           49.3438353          -26.9992647           22.3445707          119.3732702
                 178           50.0068955          -27.6685016           22.3383939          120.9773543
                 179           50.9544290          -28.6248688           22.3295602          123.2696400
                 180           52.0813233          -29.7606484           22.3206749          125.9958378
                 181           53.2620295          -30.9515115           22.3105179          128.8522181
                 182           54.3649069          -32.0640816           22.3008252          131.5203140
                 183           55.2672692          -32.9742327           22.2930366          133.7033212
                 184           55.8694078          -33.5810671           22.2883408          135.1600230
                 185           56.1059986          -33.8203194           22.2856792          135.7323865
                 186           55.9535847          -33.6677077           22.2858770          135.3636647
                 187           55.4332591          -33.1448247           22.2884344          134.1048860
                 188           54.6082667          -32.3153384           22.2929283          132.1090534
                 189           53.5768010          -31.2777741           22.2990270          129.6137177
                 190           52.4608013          -30.1550486           22.3057527          126.9138761
                 191           51.3920368          -29.0797205           22.3123163          124.3283067
                 192           50.4970738          -28.1793231           22.3177506          122.1632001
                 193           49.8828334          -27.5617778           22.3210556          120.6772216
                 194           49.6243898          -27.3025648           22.3218250          120.0519913
                 195           49.7564112          -27.4366822           22.3197290          120.3713793
                 196           50.2692169          -27.9542171           22.3149998          121.6119656
                 197           51.1098942          -28.7998664           22.3100278          123.6457436
                 198           52.1883521          -29.8872107           22.3011414          126.2547634
                 199           53.3876170          -31.0945170           22.2931000          129.1560413
                 200           54.5772005          -32.2927598           22.2844408          132.0338976
                 201           55.6279969          -33.3512297           22.2767672          134.5759983
                 202           56.4270132          -34.1568752           22.2701380          136.5089893
                 203           56.8902628          -34.6253604           22.2649024          137.6296889
                 204           56.9723246          -34.7085516           22.2637730          137.8282140
                 205           56.6715006          -34.4075340           22.2639666          137.1004565
                 206           56.0299693          -33.7614959           22.2684733          135.5484553
                 207           55.1289161          -32.8546420           22.2742741          133.3686155
                 208           54.0792171          -31.7977471           22.2814700          130.8291694
                 209           53.0087155          -30.7199117           22.2888037          128.2393975
                 210           52.0475709          -29.7521611           22.2954099          125.9141837
                 211           51.3133485          -29.0136324           22.2997161          124.1379428
                 212           50.8975349          -28.5953899           22.3021451          123.1320012
                 213           50.8550569          -28.5535099           22.3015470          123.0292377
                 214           51.1979783          -28.8998589           22.2981194          123.8588378
                 215           51.8940961          -29.6019626           22.2921335          125.5428953
                 216           52.8706100          -30.5862055           22.2844044          127.9052909
                 217           54.0224328          -31.7465800           22.2758528          130.6917962
                 218           55.2242002          -32.9595428           22.2646573          133.5991279
                 219           56.3445933          -34.0887090           22.2558843          136.3095980
                 220           57.2613495          -35.0123993           22.2489502          138.5274269
                 221           57.8752533          -35.6308440           22.2444093          140.0125912
                 222           58.1214812          -35.8798484           22.2416327          140.6082691
                 223           57.9770180          -35.7355801           22.2414379          140.2587819
                 224           57.4633088          -35.2188862           22.2444226          139.0160095
                 225           56.6438295          -34.3936418           22.2501877          137.0335143
                 226           55.6168580          -33.3602776           22.2565805          134.5490510
                 227           54.5042644          -32.2404804           22.2637840          131.8574497
                 228           53.4376083          -31.1670471           22.2705613          129.2769809
                 229           52.5431315          -30.2667647           22.2763668          127.1130505
                 230           51.9273605          -29.6478627           22.2794978          125.6233690
                 231           51.6649605          -29.3839404           22.2810201          124.9885675
                 232           51.7902231          -29.5099018           22.2803213          125.2916044
                 233           52.2931722          -30.0170736           22.2760986          126.5083455
                 234           53.1207265          -30.8526142           22.2681124          128.5103761
                 235           54.1827712          -31.9233668           22.2594044          131.0796890
                 236           55.3624633          -33.1123662           22.2500971          133.9336159
                 237           56.5295891          -34.2877674           22.2418217          136.7571424
                 238           57.5554398          -35.3202660           22.2351738          139.2388941
                 239           58.3275039          -36.0972125           22.2302914          141.1066820
                 240           58.7622965          -36.5364074           22.2258891          142.1585381
                 241           58.8148749          -36.5898344           22.2250405          142.2857364
                 242           58.4839478          -36.2581734           22.2257743          141.4851532
                 243           57.8119850          -35.5826826           22.2293024          139.8595318
                 244           56.8803272          -34.6433540           22.2369732          137.6056526
                 245           55.7998515          -33.5551133           22.2447382          134.9917512
                 246           54.6982665          -32.4461864           22.2520800          132.3267820
                 247           53.7054908          -31.4471575           22.2583332          129.9250457
                 248           52.9387693          -30.6760153           22.2627539          128.0701828
                 249           52.4892524          -30.2241748           22.2650776          126.9827055
                 250           52.4115661          -30.1471315           22.2644346          126.7947657
                 251           52.7175505          -30.4556854           22.2618652          127.5350073
                 252           53.3749045          -31.1188413           22.2560632          129.1252870
                 253           54.3108771          -32.0625391           22.2483380          131.3896045
                 254           55.4205813          -33.1823950           22.2381863          134.0742157
                 255           56.5789937          -34.3505352           22.2284586          136.8766627
                 256           57.6552571          -35.4350942           22.2201628          139.4803734
                 257           58.5276512          -36.3155600           22.2120912          141.5908810
                 258           59.0975236          -36.8908708           22.2066528          142.9695240
                 259           59.3005873          -37.0950251           22.2055622          143.4607784
                 260           59.1142830          -36.9084918           22.2057913          143.0100687
                 261           58.5603880          -36.3512513           22.2091367          141.6700785
                 262           57.7025656          -35.4883670           22.2141986          139.5948228
                 263           56.6391166          -34.4188550           22.2202615          137.0221127
                 264           55.4917862          -33.2643843           22.2274019          134.2464756
                 265           54.3918831          -32.1578395           22.2340436          131.5855753
                 266           53.4653118          -31.2257515           22.2395603          129.3440015
                 267           52.8182276          -30.5744448           22.2437828          127.7785666
                 268           52.5249408          -30.2805014           22.2444394          127.0690434
                 269           52.6194573          -30.3760020           22.2434552          127.2976988
                 270           53.0916235          -30.8534526           22.2381709          128.4399697
                 271           53.8883078          -31.6570069           22.2313009          130.3673191
                 272           54.9194923          -32.6973300           22.2221623          132.8619746
                 273           56.0685694          -33.8552497           22.2133197          135.6418372
                 274           57.2056689          -35.0023212           22.2033477          138.3927237
                 275           58.2024990          -36.0061223           22.1963767          140.8042684
                 276           58.9469908          -36.7570191           22.1899717          142.6053530
                 277           59.3560835          -37.1704308           22.1856528          143.5950357
                 278           59.3851866          -37.1996631           22.1855236          143.6654423
                 279           59.0332571          -36.8455296           22.1877276          142.8140497
                 280           58.3428797          -36.1514716           22.1914081          141.1438793
                 281           57.3953623          -35.1969467           22.1984156          138.8516324
                 282           56.3014226          -34.0962234           22.2051992          136.2051588
                 283           55.1884986          -32.9765487           22.2119499          133.5127583
                 284           54.1861569          -31.9677662           22.2183908          131.0878797
                 285           53.4112644          -31.1866650           22.2245994          129.2132493
                 286           52.9546065          -30.7270178           22.2275888          128.1084965
                 287           52.8704908          -30.6425563           22.2279345          127.9050025
                 288           53.1705259          -30.9452988           22.2252271          128.6308514
                 289           53.8222814          -31.6027848           22.2194966          130.2075873
                 290           54.7529775          -32.5408545           22.2121230          132.4591398
                 291           55.8578023          -33.6552859           22.2025164          135.1319467
                 292           57.0118839          -34.8183767           22.1935072          137.9239164
                 293           58.0845579          -35.8991643           22.1853935          140.5189438
                 294           58.9542979          -36.7769235           22.1773744          142.6230305
                 295           59.5225943          -37.3497192           22.1728751          143.9978608
                 296           59.7252260          -37.5550525           22.1701735          144.4880700
                 297           59.5396106          -37.3682867           22.1713239          144.0390268
                 298           58.9873901          -36.8129460           22.1744441          142.7030877
                 299           58.1319778          -35.9533696           22.1786082          140.6336628
                 300           57.0713300          -34.8848689           22.1864611          138.0677293
                 301           55.9267800          -33.7333320           22.1934479          135.2988184
                 302           54.8291989          -32.6288777           22.2003212          132.6435354
                 303           53.9040642          -31.6970594           22.2070048          130.4054373
                 304           53.2571619          -31.0457358           22.2114261          128.8404423
                 305           52.9625274          -30.7499670           22.2125604          128.1276588
                 306           53.0540104          -30.8437273           22.2102831          128.3489756
                 307           53.5214301          -31.3155022           22.2059278          129.4797635
                 308           54.3117579          -32.1132273           22.1985306          131.3917353
                 309           55.3351987          -33.1452351           22.1899636          133.8676571
                 310           56.4754601          -34.2944638           22.1809963          136.6261927
                 311           57.6030423          -35.4301453           22.1728969          139.3540547
                 312           58.5900343          -36.4249931           22.1650412          141.7417992
                 313           59.3247119          -37.1659592           22.1587527          143.5191410
                 314           59.7242952          -37.5688307           22.1554646          144.4858184
                 315           59.7443912          -37.5897535           22.1546377          144.5344349
                 316           59.3840332          -37.2272403           22.1567929          143.6626519
                 317           58.6857712          -36.5248559           22.1609153          141.9734072
                 318           57.7307872          -35.5627395           22.1680476          139.6630969
                 319           56.6295866          -34.4532207           22.1763659          136.9990576
                 320           55.5093554          -33.3252826           22.1840728          134.2889792
                 321           54.4994019          -32.3099430           22.1894589          131.8456863
                 322           53.7163594          -31.5228520           22.1935073          129.9513391
                 323           53.2508451          -31.0538057           22.1970395          128.8251609
                 324           53.1570883          -30.9597480           22.1973403          128.5983430
