           Time Step     Kinetic Energy eV     Potential Energy eV       Total Energy eV         Current Temp
                  88            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  89            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  90            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  91            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  92            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  93            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  94            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  95            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  96            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  97            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  98            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                  99            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 100            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 101            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 102            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 103            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 104            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 105            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 106            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 107            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 108            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 109            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 110            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 111            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 112            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 113            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 114            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 115            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 116            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 117            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 118            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 119            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 120            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 121            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 122            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 123            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 124            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 125            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 126            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 127            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 128            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 129            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 130            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 131            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 132            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 133            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 134            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 135            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 136            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 137            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 138            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 139            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 140            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 141            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 142            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 143            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 144            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 145            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 146            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 147            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 148            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 149            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 150            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 151            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 152            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 153            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 154            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 155            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 156            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 157            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 158            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 159            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 160            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 161            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 162            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 163            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 164            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 165            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 166            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 167            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 168            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 169            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 170            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 171            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 172            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 173            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 174            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 175            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 176            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 177            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 178            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 179            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 180            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 181            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 182            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 183            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 184            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 185            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 186            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 187            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 188            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 189            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 190            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 191            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 192            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 193            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 194            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 195            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 196            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 197            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 198            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 199            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 200            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 201            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 202            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 203            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 204            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 205            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 206            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 207            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 208            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 209            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 210            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 211            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 212            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 213            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 214            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 215            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 216            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 217            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 218            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 219            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 220            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 221            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 222            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 223            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 224            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 225            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 226            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 227            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 228            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 229            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 230            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 231            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 232            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 233            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 234            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 235            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 236            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 237            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 238            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 239            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 240            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 241            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 242            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 243            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 244            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 245            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 246            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 247            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 248            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 249            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 250            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 251            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 252            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 253            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 254            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 255            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 256            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 257            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 258            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 259            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 260            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 261            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 262            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 263            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 264            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 265            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 266            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 267            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 268            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 269            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 270            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 271            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 272            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 273            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 274            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 275            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 276            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 277            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 278            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 279            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 280            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 281            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 282            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 283            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 284            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 285            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 286            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 287            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 288            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 289            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 290            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 291            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 292            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 293            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 294            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 295            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 296            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 297            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 298            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 299            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 300            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 301            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 302            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 303            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 304            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 305            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 306            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 307            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 308            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 309            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 310            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 311            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 312            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 313            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 314            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 315            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 316            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 317            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 318            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 319            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 320            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 321            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 322            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 323            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 324            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 325            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 326            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 327            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 328            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 329            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 330            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 331            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 332            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 333            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 334            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 335            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 336            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 337            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 338            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 339            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 340            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 341            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 342            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 343            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 344            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 345            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 346            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 347            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 348            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 349            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 350            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 351            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 352            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 353            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 354            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 355            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 356            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 357            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 358            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 359            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 360            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 361            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 362            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 363            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 364            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 365            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 366            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 367            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 368            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 369            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 370            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 371            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 372            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 373            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 374            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 375            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 376            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 377            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 378            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 379            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 380            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 381            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 382            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 383            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 384            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 385            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
                 386            -nan(ind)            -nan(ind)            -nan(ind)            -nan(ind)
